Població de 2 anys i més segons coneixement del català
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
.. Informació no disponible. Vegeu metodologia.

"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
 
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=17&by=mun
Codi,Literal,L'entén,El sap parlar,El sap llegir,El sap escriure,No l'entén,Població de 2 anys i més
430265,Benissanet,1176,1017,986,701,..,1210,
080229,Berga,16039,14206,14279,10938,325,16363,
170195,Besalú,2307,2066,2037,1566,..,2341,
170209,Bescanó,4524,4226,4143,3385,..,4567,
170216,Beuda,153,148,141,123,..,155,
080235,Bigues i Riells,8500,7019,7350,5214,174,8674,
250557,Biosca,213,197,208,168,0,213,
170221,"Bisbal d'Empordà, la",9674,7939,8008,6274,513,10188,
430271,"Bisbal de Falset, la",222,197,179,97,..,224,
430287,"Bisbal del Penedès, la",3231,2441,2633,1913,94,3325,
172348,Biure,243,219,216,150,..,244,
430290,Blancafort,395,347,365,272,..,412,
170237,Blanes,36774,28394,31341,22032,1577,38351,
170293,Boadella i les Escaules,249,230,223,146,0,249,
170242,Bolvir,403,342,350,268,0,403,
430304,Bonastre,585,453,455,325,..,625,
250576,"Bòrdes, Es",231,223,227,173,..,233,
170255,Bordils,1659,1562,1549,1248,..,1677,
250582,"Borges Blanques, les",5618,4797,5051,3758,..,5881,
430311,"Borges del Camp, les",1819,1582,1535,1187,227,2047,
170268,Borrassà,682,614,603,450,..,684,
080240,Borredà,558,452,513,346,..,561,
250595,Bossòst,960,711,870,486,..,1102,
430326,Bot,663,561,583,363,..,677,
430332,Botarell,1066,927,941,748,..,1085,
250560,Bovera,313,301,293,175,0,313,
430347,Bràfim,637,600,596,459,..,637,
170274,Breda,3577,3165,3210,2460,104,3680,
080253,"Bruc, el",1945,1757,1729,1360,..,1954,
080266,"Brull, el",246,243,237,188,0,246,
170280,Brunyola,390,371,373,281,0,390,
430350,Cabacés,332,301,295,214,0,332,
250609,Cabanabona,73,70,67,49,0,73,
170314,Cabanelles,223,181,192,127,..,234,
170307,Cabanes,874,751,782,547,..,900,
080272,"Cabanyes, les",883,807,808,655,..,883,
250616,Cabó,94,84,83,53,0,94,
430363,Cabra del Camp,1065,766,874,620,56,1121,
080288,Cabrera d'Anoia,1296,1019,1083,729,52,1348,
080291,Cabrera de Mar,4442,3992,4055,3311,..,4478,
080305,Cabrils,6860,6189,6084,4934,..,6920,
170329,Cadaqués,2643,1955,2091,1507,..,2733,
080312,Calaf,3320,2776,2842,2103,89,3409,
430379,Calafell,21531,15395,17230,11356,2105,23636,
080348,Calders,924,830,829,653,..,925,
080327,Caldes d'Estrac,2602,2149,2176,1586,..,2659,
170335,Caldes de Malavella,6758,6023,6310,4916,105,6863,
080333,Caldes de Montbui,16400,13408,14284,10313,304,16704,
080351,Calella,16559,12925,14117,10135,938,17497,
080370,Calldetenes,2303,2027,2041,1723,..,2325,
080386,Callús,1786,1466,1563,1147,..,1812,
170340,Calonge,9561,7660,7771,6169,990,10551,
080364,Calonge de Segarra,200,179,197,142,0,200,
250621,Camarasa,911,780,789,534,..,912,
439039,Camarles,3434,2994,3020,2096,..,3476,
430385,Cambrils,30610,22954,25366,17878,1655,32265,
170353,Camós,671,633,630,483,..,672,
170366,Campdevànol,3307,2848,2948,2220,..,3351,
170372,Campelles,129,122,121,89,..,133,
080399,Campins,466,452,434,353,0,466,
170388,Campllong,478,456,444,380,..,488,
170391,Camprodon,2244,2064,2073,1543,..,2290,
250637,Canejan,..,..,..,..,..,..,
170405,Canet d'Adri,602,583,573,467,..,605,
080403,Canet de Mar,13368,11403,11798,8543,..,13454,
439076,"Canonja, la",5485,3617,4035,2641,..,5690,
080410,Canovelles,14059,9800,10571,7354,1323,15382,
080425,Cànoves i Samalús,2740,2058,2225,1509,..,2798,
170412,Cantallops,309,288,280,192,..,318,
080431,Canyelles,4024,3237,3456,2314,175,4200,
430398,Capafonts,121,111,114,77,0,121,
430402,Capçanes,417,404,395,312,0,417,
