Població de 2 anys i més segons coneixement del català
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
.. Informació no disponible. Vegeu metodologia.

"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
 
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=17&by=mun
Codi,Literal,L'entén,El sap parlar,El sap llegir,El sap escriure,No l'entén,Població de 2 anys i més
081419,Navàs,5738,5017,5132,4009,231,5969,
171117,Navata,1138,1062,1043,846,45,1183,
251462,Navès,266,251,254,201,..,267,
081424,"Nou de Berguedà, la",151,145,142,111,0,151,
430976,"Nou de Gaià, la",513,435,422,291,..,526,
430982,Nulles,430,398,390,322,..,442,
251484,Odèn,256,237,218,183,0,256,
081430,Òdena,3323,2689,2813,2160,163,3486,
171122,Ogassa,240,235,225,173,..,245,
081458,Olèrdola,3401,2895,2953,2254,..,3463,
081461,Olesa de Bonesvalls,1609,1299,1290,913,..,1673,
081477,Olesa de Montserrat,22112,17710,18374,13314,878,22989,
251497,Oliana,1797,1532,1581,1146,..,1828,
251500,Oliola,209,193,196,150,..,217,
251517,Olius,839,786,759,685,..,849,
081483,Olivella,3270,2527,2717,2056,249,3519,
081496,Olost,1167,1088,1077,809,..,1173,
171143,Olot,30546,25694,26284,19793,1809,32354,
251522,"Oluges, les",165,145,160,91,0,165,
081445,Olvan,883,844,835,666,..,886,
251538,"Omellons, els",250,236,236,197,0,250,
251543,"Omells de na Gaia, els",143,123,131,87,..,144,
171156,Ordis,357,332,324,257,..,374,
251556,Organyà,870,733,761,600,..,878,
081509,Orís,296,287,279,235,0,296,
081516,Oristà,561,520,516,401,0,561,
081521,Orpí,155,147,145,119,..,158,
081537,Òrrius,628,593,592,522,0,628,
251569,Os de Balaguer,929,770,775,601,..,948,
171169,Osor,441,412,412,321,0,441,
251575,Ossó de Sió,208,198,194,146,0,208,
081542,Pacs del Penedès,795,723,716,583,..,809,
081555,Palafolls,8306,6861,7127,5256,283,8589,
171175,Palafrugell,20343,14801,16071,11548,1623,21965,
171181,Palamós,17033,13750,14574,10746,380,17413,
251581,"Palau d'Anglesola, el",2118,1947,1957,1490,..,2138,
171194,Palau de Santa Eulàlia,103,94,101,76,0,103,
171215,Palau-sator,287,257,249,194,..,291,
171208,Palau-saverdera,1334,1123,1185,827,107,1441,
081568,Palau-solità i Plegamans,13553,10975,11515,8157,326,13879,
431009,"Pallaresos, els",4128,3533,3695,2827,95,4223,
081574,Pallejà,10467,8254,8715,6430,311,10778,
430995,"Palma d'Ebre, la",374,347,336,197,..,392,
089058,"Palma de Cervelló, la",2880,2583,2675,2016,..,2927,
171236,Palol de Revardit,458,420,424,327,..,462,
171241,Pals,2476,1987,2177,1547,134,2610,
081580,"Papiol, el",3746,2999,3132,2320,134,3880,
171254,Pardines,155,152,139,97,0,155,
081593,Parets del Vallès,17636,13691,14728,10245,465,18102,
171267,Parlavà,356,340,337,276,..,369,
431016,Passanant i Belltall,156,146,147,100,..,158,
171289,Pau,511,437,466,314,..,548,
431021,Paüls,582,470,541,337,..,589,
171292,Pedret i Marzà,167,145,155,106,..,171,
251641,Penelles,451,407,402,312,..,461,
171306,"Pera, la",419,396,383,293,0,419,
081607,Perafita,390,356,365,271,..,394,
431037,Perafort,1181,1058,1037,824,..,1203,
171328,Peralada,1797,1608,1685,1244,..,1840,
251654,Peramola,354,299,310,204,0,354,
431042,"Perelló, el",2999,2628,2628,1821,..,3081,
081614,Piera,14089,10972,11686,8430,507,14597,
431055,"Piles, les",203,194,186,150,..,204,
081635,Pineda de Mar,24012,17622,19485,13057,922,24934,
431068,"Pinell de Brai, el",1090,1020,976,644,0,1090,
251667,Pinell de Solsonès,211,203,211,162,0,211,
251673,Pinós,298,278,287,242,0,298,
431074,Pira,488,447,434,362,..,488,
431080,"Pla de Santa Maria, el",2309,2086,2113,1680,..,2337,
081640,"Pla del Penedès, el",1143,994,1061,816,..,1156,
171334,"Planes d'Hostoles, les",1592,1457,1483,1040,..,1620,
171349,Planoles,303,289,290,220,..,309,
259118,"Plans de Sió, els",549,500,512,398,0,549,
251689,"Poal, el",626,531,560,427,..,629,
251692,"Pobla de Cérvoles, la",240,225,234,169,..,242,
081653,"Pobla de Claramunt, la",2181,1897,1959,1420,..,2202,
081666,"Pobla de Lillet, la",1150,988,1025,691,..,1159,
431093,"Pobla de Mafumet, la",2766,2163,2186,1736,..,2823,
431107,"Pobla de Massaluca, la",349,313,312,185,..,359,
431114,"Pobla de Montornès, la",2694,2014,2257,1442,106,2800,
251713,"Pobla de Segur, la",3011,2572,2587,1825,..,3093,
431129,Poboleda,366,339,337,256,0,366,
081672,Polinyà,7484,5503,6065,4388,182,7665,
431135,"Pont d'Armentera, el",574,501,524,367,..,577,
250306,"Pont de Bar, el",178,174,170,124,0,178,
171352,Pont de Molins,511,431,450,317,..,526,
251734,"Pont de Suert, el",2407,1892,1993,1412,..,2422,
081825,"Pont de Vilomara i Rocafort, el",3572,2877,3012,2100,..,3631,
431418,Pontils,136,111,116,88,..,139,
081688,Pontons,493,417,409,258,..,517,
171365,Pontós,228,216,208,151,..,231,
251728,Ponts,2585,2286,2337,1825,..,2614,
171371,Porqueres,4318,3950,3870,3145,..,4347,
431140,Porrera,454,426,421,309,0,454,
171404,"Port de la Selva, el",909,716,691,503,..,970,
171387,Portbou,1212,877,944,517,..,1249,
251749,"Portella, la",582,467,493,347,153,735,
431153,Pradell de la Teixeta,198,180,181,138,0,198,
431166,Prades,642,585,554,409,..,645,
431172,Prat de Comte,184,146,147,96,0,184,
081691,"Prat de Llobregat, el",57113,38257,44215,28918,4134,61247,
431188,Pratdip,630,482,498,326,130,760,
081712,Prats de Lluçanès,2571,2332,2340,1921,0,2571,
081705,"Prats de Rei, els",477,461,459,379,0,477,
251752,Prats i Sansor,279,231,239,188,0,279,
251765,Preixana,404,394,378,261,..,409,
251771,Preixens,463,446,436,307,..,466,
082303,Premià de Dalt,9703,8099,8572,6513,302,10005,
081727,Premià de Mar,25767,20466,21753,15242,1480,27248,
171390,"Preses, les",1696,1617,1574,1373,..,1708,
251790,Prullans,236,220,229,174,0,236,
171411,Puigcerdà,8363,6363,6834,5012,272,8635,
081748,Puigdàlber,502,467,463,353,..,507,
251804,Puiggròs,305,271,273,210,0,305,
431191,Puigpelat,988,847,829,625,..,999,
081751,Puig-reig,4051,3625,3670,2853,..,4078,
251811,Puigverd d'Agramunt,250,224,228,153,..,260,
251826,Puigverd de Lleida,1411,1276,1317,984,..,1417,
081764,Pujalt,195,179,175,129,0,195,
081770,"Quar, la",..,..,..,..,..,..,
171426,Quart,3112,2882,2864,2342,..,3156,
170433,Queralbs,179,168,176,143,0,179,
431205,Querol,489,391,426,256,..,525,
171432,Rabós,192,151,160,112,..,194,
081786,Rajadell,532,441,471,365,0,532,
431212,Rasquera,813,704,666,399,45,858,
171447,Regencós,283,246,251,201,..,290,
081799,Rellinars,714,593,610,436,..,731,
431227,Renau,126,108,111,83,0,126,
431233,Reus,97754,76965,81226,60131,5328,103082,
251832,Rialp,638,565,575,451,..,641,
431248,"Riba, la",650,595,601,413,..,674,
431251,Riba-roja d'Ebre,1204,1048,1017,718,..,1257,
259059,Ribera d'Ondara,438,407,406,300,..,443,
251850,Ribera d'Urgellet,928,842,822,658,..,953,
171450,Ribes de Freser,1801,1595,1599,1265,..,1825,
171463,Riells i Viabrea,3868,3256,3368,2568,..,3895,
431264,"Riera de Gaià, la",1560,1418,1411,1131,..,1607,
251863,Riner,284,266,261,227,..,284,
171479,Ripoll,10415,8784,9278,6805,161,10576,
081803,Ripollet,33301,23097,25538,17301,2794,36095,
259139,Riu de Cerdanya,119,117,117,88,0,119,
171485,Riudarenes,1995,1836,1796,1451,..,2097,
171498,Riudaura,427,411,396,338,..,433,
431270,Riudecanyes,1024,807,929,669,86,1109,
431286,Riudecols,1240,1079,1105,760,..,1272,
171501,Riudellots de la Selva,1899,1637,1679,1438,71,1969,
431299,Riudoms,6141,5067,5192,3940,..,6329,
171518,Riumors,233,216,218,159,..,236,
081810,"Roca del Vallès, la",9702,8291,8446,6436,175,9876,
431303,Rocafort de Queralt,261,218,217,144,..,267,
431310,Roda de Berà,5841,4206,4787,3077,221,6062,
081831,Roda de Ter,5698,5021,5092,4285,230,5928,
431325,Rodonyà,491,454,432,303,..,498,
431331,Roquetes,7783,6612,6675,4842,308,8091,
171523,Roses,17434,11903,13311,9610,1718,19152,
251898,Rosselló,2800,2441,2476,1827,130,2930,
431346,"Rourell, el",378,336,339,266,..,379,
081846,Rubí,68446,49910,54810,37992,3690,72136,
081859,Rubió,230,230,230,196,0,230,
171539,Rupià,241,209,214,149,..,245,
089019,Rupit i Pruit,301,288,288,224,..,306,
081878,Sabadell,192210,144091,155739,111050,8590,200800,
081884,Sagàs,144,135,134,123,0,144,
251902,Salàs de Pallars,350,304,311,243,..,357,
081901,Saldes,315,293,306,219,0,315,
171544,Sales de Llierca,140,127,127,111,0,140,
081918,Sallent,6575,5557,5597,4107,119,6693,
431359,Salomó,476,404,439,282,..,506,
439057,Salou,23702,14934,18184,11517,2102,25804,
171557,Salt,25359,18942,20106,15461,3029,28388,
251919,Sanaüja,448,414,405,315,..,449,
081944,Sant Adrià de Besòs,31863,21647,24307,15388,1729,33592,
081957,Sant Agustí de Lluçanès,95,90,81,72,..,95,
081960,Sant Andreu de la Barca,24248,16682,18753,13020,2023,26271,
081976,Sant Andreu de Llavaneres,10058,8707,9008,6462,..,10159,
171576,Sant Andreu Salou,154,145,149,129,0,154,
171833,Sant Aniol de Finestres,329,300,296,199,0,329,
081982,Sant Antoni de Vilamajor,5352,4899,4904,3669,..,5441,
081995,Sant Bartomeu del Grau,879,746,785,565,..,896,
082009,Sant Boi de Llobregat,74415,51569,58610,39388,5111,79526,
082016,Sant Boi de Lluçanès,487,449,436,357,..,498,
431362,Sant Carles de la Ràpita,14331,11639,12042,7615,301,14632,
082037,Sant Cebrià de Vallalta,3146,2705,2681,2033,..,3237,
082021,Sant Celoni,15661,12741,13212,10192,782,16443,
082042,Sant Climent de Llobregat,3753,3238,3293,2514,..,3798,
171582,Sant Climent Sescebes,418,316,347,204,..,444,
082055,Sant Cugat del Vallès,80415,67259,70743,55130,1458,81873,
082068,Sant Cugat Sesgarrigues,927,818,819,643,..,951,
251961,Sant Esteve de la Sarga,..,..,..,..,..,..,
082074,Sant Esteve de Palautordera,2463,2350,2252,1899,..,2478,
082080,Sant Esteve Sesrovires,5374,3817,4136,2656,431,5805,
171595,Sant Feliu de Buixalleu,781,723,726,599,..,781,
082107,Sant Feliu de Codines,5760,5053,4998,3974,..,5790,
171609,Sant Feliu de Guíxols,19913,15688,16909,12382,1352,21266,
082114,Sant Feliu de Llobregat,40074,29894,32689,23340,1969,42043,
171616,Sant Feliu de Pallerols,1314,1217,1176,910,0,1314,
082129,Sant Feliu Sasserra,653,597,610,485,..,656,
171621,Sant Ferriol,217,184,199,139,..,220,
082093,Sant Fost de Campsentelles,7942,6313,6628,4807,86,8028,
082135,Sant Fruitós de Bages,7973,7169,7101,5529,..,8003,
171637,Sant Gregori,3125,2907,2861,2438,..,3151,
251924,Sant Guim de Freixenet,1043,930,943,705,0,1043,
251977,Sant Guim de la Plana,195,185,189,141,0,195,
171642,Sant Hilari Sacalm,5495,4782,4792,3515,..,5631,
082153,Sant Hipòlit de Voltregà,3459,2762,2852,2228,..,3541,
081939,Sant Iscle de Vallalta,1257,1138,1137,809,..,1275,
439023,Sant Jaume d'Enveja,3418,2991,2804,1780,..,3504,
082166,Sant Jaume de Frontanyà,..,..,..,..,..,..,
171655,Sant Jaume de Llierca,738,701,687,499,..,753,
431378,Sant Jaume dels Domenys,2356,1899,2020,1567,..,2406,
171674,Sant Joan de les Abadesses,3266,3000,2922,2162,..,3337,
171680,Sant Joan de Mollet,515,453,477,372,..,519,
082188,Sant Joan de Vilatorrada,10094,8305,8663,6408,417,10511,
082172,Sant Joan Despí,30092,21235,23641,16825,1679,31771,
171851,Sant Joan les Fonts,2748,2470,2561,1856,..,2759,
171668,Sant Jordi Desvalls,650,573,581,486,..,680,
089030,Sant Julià de Cerdanyola,254,250,249,195,0,254,
171693,Sant Julià de Ramis,3326,2917,2949,2380,..,3361,
082205,Sant Julià de Vilatorta,2940,2798,2761,2418,..,2975,
179032,Sant Julià del Llor i Bonmatí,1165,971,947,745,..,1175,
082212,Sant Just Desvern,14251,12148,12670,9565,827,15078,
082227,Sant Llorenç d'Hortons,2403,2193,2219,1745,60,2463,
171714,Sant Llorenç de la Muga,231,204,191,159,..,234,
251930,Sant Llorenç de Morunys,951,873,883,670,..,964,
082233,Sant Llorenç Savall,2289,2014,1975,1520,..,2295,
082251,Sant Martí d'Albars,107,104,103,96,0,107,
082248,Sant Martí de Centelles,1085,931,990,771,..,1090,
171729,Sant Martí de Llémena,580,514,538,414,..,590,
259025,Sant Martí de Riucorb,681,627,635,479,..,690,
082264,Sant Martí de Tous,1147,1073,1051,861,0,1147,
082270,Sant Martí Sarroca,3053,2664,2660,1813,..,3107,
082286,Sant Martí Sesgueioles,361,327,330,250,..,372,
171735,Sant Martí Vell,259,229,224,156,0,259,
082299,Sant Mateu de Bages,627,597,600,466,..,627,
171740,Sant Miquel de Campmajor,225,208,206,166,0,225,
171753,Sant Miquel de Fluvià,747,537,607,412,..,758,
171766,Sant Mori,192,161,151,112,..,196,
171772,Sant Pau de Segúries,657,602,611,420,..,657,
082310,Sant Pere de Ribes,26794,20373,22488,15769,1188,27982,
082325,Sant Pere de Riudebitlles,2268,2027,1972,1557,..,2284,
082331,Sant Pere de Torelló,2392,2292,2269,1849,..,2410,
082346,Sant Pere de Vilamajor,4107,3502,3514,2726,106,4212,
171788,Sant Pere Pescador,1746,1268,1426,1028,315,2061,
081897,Sant Pere Sallavinera,163,156,152,125,0,163,
082359,Sant Pol de Mar,4873,4470,4504,3569,..,4891,
082362,Sant Quintí de Mediona,2002,1734,1721,1322,..,2046,
082378,Sant Quirze de Besora,2151,1943,1967,1570,..,2166,
082384,Sant Quirze del Vallès,18377,16057,16504,12972,150,18527,
082397,Sant Quirze Safaja,625,551,555,474,..,629,
251945,Sant Ramon,521,462,462,339,..,524,
082401,Sant Sadurní d'Anoia,11861,9967,10221,7636,256,12118,
082418,Sant Sadurní d'Osormort,95,88,95,53,0,95,
080983,Sant Salvador de Guardiola,2926,2473,2541,1825,71,2997,
082628,Sant Vicenç de Castellet,8723,7052,7403,5343,258,8981,
082649,Sant Vicenç de Montalt,5605,4756,4926,3753,..,5694,
082652,Sant Vicenç de Torelló,1989,1928,1896,1632,..,2006,
082634,Sant Vicenç dels Horts,25602,17995,20385,13725,1662,27264,
431384,Santa Bàrbara,3792,3305,3284,2051,..,3831,
082439,Santa Cecília de Voltregà,178,178,174,148,0,178,
082444,Santa Coloma de Cervelló,7450,6121,6352,4908,214,7664,
171805,Santa Coloma de Farners,11192,9184,9640,7525,741,11933,
082457,Santa Coloma de Gramenet,102417,58814,71003,43264,13658,116075,
431397,Santa Coloma de Queralt,2884,2709,2713,2246,..,2920,
171812,Santa Cristina d'Aro,4723,4077,4164,3140,..,4845,
082460,Santa Eugènia de Berga,2183,2000,1970,1657,..,2220,
082476,Santa Eulàlia de Riuprimer,1156,1110,1063,894,0,1156,
082482,Santa Eulàlia de Ronçana,6504,5386,5453,4175,304,6807,
082495,Santa Fe del Penedès,373,332,326,267,0,373,
171827,Santa Llogaia d'Àlguema,332,289,281,194,0,332,
082508,Santa Margarida de Montbui,9019,6566,7369,4747,526,9545,
082515,Santa Margarida i els Monjos,6372,5068,5294,3853,422,6794,
082589,Santa Maria d'Oló,1015,966,948,762,..,1027,
082536,Santa Maria de Besora,156,152,152,117,0,156,
082567,Santa Maria de Martorelles,830,745,751,564,..,833,
082554,Santa Maria de Merlès,167,159,154,126,0,167,
082573,Santa Maria de Miralles,125,111,105,71,0,125,
082592,Santa Maria de Palautordera,8830,7703,7874,6050,..,8923,
431401,Santa Oliva,3050,2391,2464,1767,155,3205,
171848,Santa Pau,1536,1382,1375,1140,0,1536,
082606,Santa Perpètua de Mogoda,23484,16675,18584,12763,1410,24893,
082613,Santa Susanna,3109,2598,2658,1996,139,3248,
081923,Santpedor,6861,5948,5968,4653,..,6897,
431423,Sarral,1566,1433,1388,1103,..,1589,
171864,Sarrià de Ter,4432,3639,3867,2842,247,4680,
252017,Sarroca de Bellera,130,125,125,99,0,130,
252000,Sarroca de Lleida,408,374,389,267,0,408,
171870,"Saus, Camallera i Llampaies",760,696,694,526,0,760,
431439,Savallà del Comtat,69,64,63,52,0,69,
431444,"Secuita, la",1559,1349,1402,1022,..,1570,
171886,"Selva de Mar, la",197,170,187,122,..,198,
431457,"Selva del Camp, la",5364,4493,4582,3511,..,5419,
431460,Senan,57,52,54,47,0,57,
430445,"Sénia, la",5608,4468,4812,3021,214,5822,
252022,Senterada,137,124,124,100,0,137,
250352,"Sentiu de Sió, la",460,424,425,264,..,469,
082671,Sentmenat,8116,6702,6977,5051,141,8257,
171903,Serinyà,1076,1048,1033,880,..,1087,
252043,Seròs,1647,1420,1425,897,207,1854,
171910,Serra de Daró,203,171,178,146,..,206,
171925,Setcases,170,153,148,104,..,184,
252038,"Seu d'Urgell, la",11863,10027,10656,7569,268,12132,
082690,Seva,3309,3068,3025,2404,..,3348,
252056,Sidamon,689,646,636,445,..,698,
171931,Sils,5246,4216,4393,3425,217,5463,
082704,Sitges,25065,19409,21451,14325,2125,27190,
170524,Siurana,164,150,151,112,..,167,
082711,Sobremunt,91,69,76,58,0,91,
252069,"Soleràs, el",362,328,335,220,..,365,
431476,Solivella,629,575,590,411,..,641,
252075,Solsona,8433,7425,7628,5910,528,8962,
082726,Sora,179,168,165,142,0,179,
252081,Soriguera,353,337,316,236,0,353,
252094,Sort,2182,1886,1858,1371,..,2202,
252108,Soses,1677,1426,1379,947,..,1742,
082732,Subirats,2827,2534,2523,1847,..,2883,
252115,Sudanell,776,699,675,494,..,780,
252120,Sunyer,295,284,280,185,0,295,
082747,Súria,6019,5063,5319,3677,..,6069,
171946,Susqueda,106,98,99,69,0,106,
082763,Tagamanent,304,267,277,206,..,310,
082779,Talamanca,156,139,136,108,0,156,
252154,Talarn,169,145,149,102,..,171,
252167,Talavera,297,233,252,196,0,297,
171959,"Tallada d'Empordà, la",427,378,383,315,..,432,
082785,Taradell,5925,5592,5436,4685,..,5992,
431482,Tarragona,122553,91754,102560,70258,7544,130098,
252173,Tàrrega,15640,13326,13440,10681,620,16260,
252189,Tarrés,104,103,102,88,0,104,
252192,Tarroja de Segarra,168,165,164,109,..,170,
082750,Tavèrnoles,296,290,284,253,..,298,
082802,Tavertet,136,129,127,108,0,136,
082819,Teià,5832,5331,5363,4358,..,5878,
252206,Térmens,1470,1289,1319,940,74,1544,
171962,Terrades,276,256,254,197,..,281,
082798,Terrassa,196620,150476,162673,117743,11596,208216,
082824,Tiana,7788,7039,6994,5750,..,7859,
252213,Tírvia,149,134,140,106,..,152,
252228,Tiurana,79,77,79,62,0,79,
431495,Tivenys,903,765,787,486,..,903,
431508,Tivissa,1768,1609,1572,1135,0,1768,
082830,Tona,7708,6689,6904,5300,..,7761,
252234,Torà,1272,1172,1183,889,0,1272,
082845,Tordera,14960,11765,12333,8627,571,15531,
082858,Torelló,13093,11261,11339,9065,329,13422,
252249,"Torms, els",166,156,157,122,..,168,
252252,Tornabous,830,746,768,558,76,906,
252271,"Torre de Cabdella, la",739,712,685,562,..,751,
082861,"Torre de Claramunt, la",3623,2740,3042,2134,..,3706,
431515,"Torre de Fontaubella, la",131,123,121,104,0,131,
431520,"Torre de l'Espanyol, la",650,507,534,370,..,676,
252265,Torrebesses,294,286,288,217,..,295,
431536,Torredembarra,14313,11188,11786,7977,574,14887,
252287,Torrefarrera,4044,3674,3503,2857,..,4141,
259078,Torrefeta i Florejacs,594,573,564,409,..,614,
252304,Torregrossa,2192,2010,1989,1477,..,2219,
252311,Torrelameu,658,548,561,404,..,689,
082877,Torrelavit,1352,1205,1251,902,..,1357,
082883,Torrelles de Foix,2318,1681,1789,1205,..,2349,
082896,Torrelles de Llobregat,5459,4907,4943,3992,..,5513,
171978,Torrent,190,167,162,137,0,190,
252326,Torres de Segre,2050,1767,1750,1315,..,2120,
252332,Torre-serona,352,304,314,215,0,352,
171984,Torroella de Fluvià,620,537,565,451,66,686,
171997,Torroella de Montgrí,10399,8463,8851,6989,537,10935,
431541,Torroja del Priorat,167,153,157,116,0,167,
172001,Tortellà,764,705,729,577,..,768,
431554,Tortosa,32231,26853,27296,19363,1204,33436,
172018,Toses,151,140,140,107,0,151,
172023,Tossa de Mar,5406,4115,4411,2835,325,5731,
252347,Tremp,5808,4934,4978,3830,201,6009,
172044,Ullà,883,657,716,494,101,984,
082900,Ullastrell,1939,1710,1709,1376,..,1946,
172057,Ullastret,254,244,243,202,..,262,
431567,Ulldecona,6526,4490,5030,3124,330,6856,
431573,Ulldemolins,416,396,381,289,..,427,
172039,Ultramort,198,178,184,139,..,204,
172060,Urús,203,194,191,154,0,203,
082917,Vacarisses,5885,4859,5085,3876,131,6017,
170144,"Vajol, la",85,79,80,54,0,85,
172076,"Vall d'en Bas, la",2836,2703,2591,2126,0,2836,
172082,"Vall de Bianya, la",1293,1201,1191,900,..,1296,
250432,"Vall de Boí, la",996,863,879,641,..,996,
259010,Vall de Cardós,359,308,331,237,..,387,
082922,Vallbona d'Anoia,1374,1171,1208,913,..,1397,
252385,Vallbona de les Monges,243,231,238,166,0,243,
082938,Vallcebre,269,253,248,199,0,269,
431589,Vallclara,124,112,116,82,0,124,
252402,Vallfogona de Balaguer,1762,1578,1525,1168,..,1787,
171707,Vallfogona de Ripollès,218,214,209,164,..,221,
431592,Vallfogona de Riucorb,115,95,87,67,0,115,
082943,Vallgorguina,2495,2136,2120,1510,..,2524,
082956,Vallirana,13502,10794,11361,7828,308,13810,
172095,Vall-llobrega,855,776,775,633,..,876,
431606,Vallmoll,1563,1234,1376,927,..,1605,
082969,Vallromanes,2345,2071,2089,1637,..,2395,
431613,Valls,23583,20131,20625,15407,462,24046,
259062,"Valls d'Aguilar, les",285,267,268,165,..,286,
252398,"Valls de Valira, les",858,771,808,594,..,874,
431628,Vandellòs i l'Hospitalet de l'Infant,5598,4507,4485,3281,202,5800,
259097,"Vansa i Fórnols, la",195,185,183,129,..,197,
082975,Veciana,162,157,156,119,0,162,
431634,"Vendrell, el",34062,25135,27710,19480,1444,35506,
172109,Ventalló,762,708,696,535,..,787,
252424,Verdú,913,759,752,554,..,929,
172116,Verges,1139,1025,1005,805,..,1150,
431649,Vespella de Gaià,374,251,295,173,..,385,
082981,Vic,37013,30775,31780,25837,2540,39553,
172121,Vidrà,157,151,146,120,0,157,
172137,Vidreres,7045,5625,5834,4546,397,7442,
252430,Vielha e Mijaran,4574,3003,3625,2311,664,5238,
431652,Vilabella,749,660,655,496,..,825,
172142,Vilabertran,894,786,797,616,..,896,
172155,Vilablareix,2352,2203,2212,1777,..,2374,
082994,Vilada,481,445,454,372,..,484,
172174,Viladamat,435,390,399,279,0,435,
172168,Viladasens,205,192,190,158,..,206,
083015,Viladecans,59394,41339,46731,32407,3678,63072,
083008,Viladecavalls,7112,5971,6302,4645,148,7261,
172180,Vilademuls,718,699,648,570,..,729,
172207,Viladrau,1053,941,928,715,0,1053,
172214,Vilafant,5278,4583,4647,3420,..,5349,
083054,Vilafranca del Penedès,35834,29453,31158,23549,1533,37368,
252445,Vilagrassa,475,431,420,348,..,483,
172235,Vilajuïga,1100,962,973,695,..,1128,
431750,Vilalba dels Arcs,701,671,590,377,0,701,
083067,Vilalba Sasserra,679,594,565,402,..,692,
252458,Vilaller,594,493,505,364,..,614,
172240,Vilallonga de Ter,448,406,400,286,..,452,
431665,Vilallonga del Camp,2028,1640,1761,1343,..,2091,
172253,Vilamacolum,275,227,243,163,..,282,
172266,Vilamalla,1019,866,911,632,47,1066,
172272,Vilamaniscle,163,141,140,117,..,165,
252477,Vilamòs,170,144,124,99,..,176,
172288,Vilanant,366,340,332,276,..,368,
431671,Vilanova d'Escornalbou,552,520,506,384,..,553,
252483,Vilanova de Bellpuig,1159,1087,1084,857,0,1159,
252496,Vilanova de l'Aguda,233,225,223,168,0,233,
252542,Vilanova de la Barca,1068,966,951,650,..,1096,
252509,Vilanova de Meià,410,372,368,302,..,412,
431687,Vilanova de Prades,126,123,118,91,0,126,
083036,Vilanova de Sau,319,287,299,232,0,319,
252516,Vilanova de Segrià,865,783,780,620,..,879,
083020,Vilanova del Camí,11416,8220,9002,6235,700,12116,
089024,Vilanova del Vallès,4815,4244,4216,3357,..,4889,
083073,Vilanova i la Geltrú,61912,48523,51890,37607,2539,64451,
431690,Vilaplana,610,545,517,434,..,615,
431704,Vila-rodona,1238,1079,1110,814,..,1246,
172305,Vila-sacra,614,520,538,426,..,646,
252521,Vila-sana,673,602,627,447,..,681,
431711,Vila-seca,20020,14105,15967,11057,1151,21171,
082140,Vilassar de Dalt,8552,7623,7580,6047,..,8591,
082191,Vilassar de Mar,19154,15757,16656,12569,307,19461,
172229,Vilaür,134,123,125,95,0,134,
431726,Vilaverd,482,393,425,322,..,493,
431732,"Vilella Alta, la",137,126,125,96,..,139,
431747,"Vilella Baixa, la",213,194,187,144,..,218,
172333,Vilobí d'Onyar,2899,2643,2672,2337,..,2946,
083041,Vilobí del Penedès,1068,1020,995,810,..,1083,
172327,Vilopriu,201,177,181,135,..,206,
252537,"Vilosell, el",197,170,183,130,0,197,
431763,Vimbodí i Poblet,947,893,881,657,..,951,
252555,Vinaixa,559,506,523,337,0,559,
431779,Vinebre,455,371,367,267,..,471,
431785,Vinyols i els Arcs,1689,1309,1329,1095,135,1824,
083089,Viver i Serrateix,171,165,162,129,0,171,
430521,Xerta,1249,1125,1111,843,..,1266,
,Catalunya,6949344,5345484,5750348,4069219,356728,7306072,

