Població segons lloc de naixement  per comunitats autònomes
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=12&by=mun
Codi,Literal,Catalunya,Barcelona,Girona,Lleida,Tarragona,Resta Estat,Andalusia,Aragó,Principat d'Astúries,Illes Balears,Canàries,Cantàbria,Castella - la Manxa,Castella i Lleó,Comunitat Valenciana,Extremadura,Galícia,Comunitat de Madrid,Regió de Múrcia,Comunitat Foral de Navarra,País Basc,"Rioja, La",Ceuta i Melilla,Estranger,Total
080522,Castellar de n'Hug,157,153,2,1,1,12,4,0,0,1,0,0,1,1,2,2,0,1,0,0,0,0,0,7,176,
080500,Castellar del Riu,157,150,0,7,0,14,5,3,0,1,0,0,1,2,0,1,0,0,1,0,0,0,0,3,174,
080517,Castellar del Vallès,17747,17287,110,204,146,4016,2452,209,23,23,19,16,204,169,125,324,101,88,173,11,49,5,26,1512,23275,
080538,Castellbell i el Vilar,2730,2666,10,42,13,658,426,24,7,2,4,1,31,42,19,39,15,16,17,2,4,3,6,270,3658,
080543,Castellbisbal,8771,8623,30,58,60,2494,1305,130,21,21,7,5,233,166,96,184,180,45,47,11,25,1,18,1075,12340,
080556,Castellcir,533,516,8,6,3,76,39,3,1,1,1,2,5,8,3,4,4,2,2,1,0,0,0,55,664,
250674,Castelldans,799,59,1,732,7,77,32,21,0,0,0,0,3,6,3,6,3,1,0,0,1,0,1,136,1011,
080569,Castelldefels,33815,32739,213,431,432,13246,5341,1072,238,142,139,92,857,1238,662,746,784,870,355,110,429,56,114,14797,61858,
080581,Castellet i la Gornal,1605,1401,6,13,185,470,246,16,11,2,1,7,37,27,21,38,26,11,19,2,3,1,1,170,2244,
170464,Castellfollit de la Roca,760,70,684,4,2,98,48,8,2,0,0,0,9,3,6,7,1,4,3,1,3,0,3,131,989,
080608,Castellfollit de Riubregós,176,153,0,23,0,7,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,186,
080594,Castellfollit del Boix,366,360,0,5,1,32,9,1,2,10,0,0,0,0,2,5,1,1,0,1,0,0,0,15,413,
080615,Castellgalí,1496,1439,10,36,11,371,224,18,1,4,1,1,24,23,14,22,14,5,10,0,6,0,4,131,1997,
080620,Castellnou de Bages,966,938,2,21,5,182,100,4,5,0,0,2,28,15,4,9,5,6,1,1,1,0,1,30,1178,
250680,Castellnou de Seana,649,58,1,583,7,31,15,5,0,1,0,0,1,0,3,2,0,1,3,0,0,0,0,84,764,
170470,Castelló d'Empúries,4839,881,3882,44,31,1280,522,47,28,9,7,11,65,148,53,142,92,59,37,10,41,5,2,5239,11358,
250693,Castelló de Farfanya,476,60,0,415,1,34,13,6,1,6,0,0,3,2,0,0,0,0,3,0,0,0,0,35,545,
080636,Castellolí,513,502,1,5,5,28,7,1,0,0,0,0,5,9,2,0,0,1,2,1,0,0,0,23,564,
170486,Castell-Platja d'Aro,5277,1663,3512,62,40,1788,961,64,28,12,12,11,67,162,40,210,59,80,32,8,22,9,11,3357,10423,
250707,Castellserà,926,100,0,822,5,88,38,11,0,0,0,1,13,4,6,1,5,1,6,1,0,1,0,77,1092,
080641,Castellterçol,1913,1875,16,13,9,244,131,16,2,0,2,1,8,12,13,14,9,15,10,3,6,2,0,254,2411,
430424,Castellvell del Camp,2342,181,9,33,2119,365,146,35,2,8,0,0,42,43,18,36,9,9,6,0,6,2,3,144,2851,
080654,Castellví de la Marca,1364,1296,5,3,60,145,53,16,0,0,1,0,18,9,18,10,7,2,7,0,1,3,0,138,1647,
080667,Castellví de Rosanes,1269,1239,8,14,8,360,168,22,5,1,2,4,31,20,20,27,24,5,11,4,14,2,1,127,1756,
430430,"Catllar, el",2957,310,18,76,2553,824,354,60,10,5,4,9,70,63,41,62,20,51,32,4,27,0,12,384,4165,
250714,Cava,54,25,0,28,1,5,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,62,
171899,"Cellera de Ter, la",1654,86,1546,14,7,166,115,4,2,2,0,1,4,9,0,7,10,3,5,2,2,0,0,228,2048,
170499,Celrà,3506,448,3016,27,15,507,272,17,6,7,4,5,37,28,23,58,10,22,7,3,7,0,1,831,4845,
080673,Centelles,5871,5753,71,27,20,972,554,39,5,13,3,8,75,48,27,99,43,23,10,5,9,4,7,480,7323,
082687,Cercs,999,975,5,14,5,249,150,17,6,1,1,3,14,7,8,19,6,4,7,1,0,0,5,63,1311,
082665,Cerdanyola del Vallès,36055,34989,285,465,318,14582,7189,901,147,109,39,73,1007,1547,455,1270,709,356,329,86,200,45,122,7036,57674,
080689,Cervelló,6237,6099,24,49,65,1667,747,101,19,11,4,7,125,154,69,140,129,53,60,8,19,6,16,723,8628,
250729,Cervera,6344,1283,33,4939,89,1048,498,86,26,10,1,6,88,112,25,102,35,18,15,2,18,1,6,2024,9416,
250735,Cervià de les Garrigues,662,155,2,472,33,67,35,5,1,1,0,0,1,6,3,6,3,2,2,0,1,0,1,32,761,
170502,Cervià de Ter,747,89,655,1,2,59,14,3,1,1,3,0,3,7,5,9,0,0,4,1,5,2,1,93,900,
170519,Cistella,233,54,176,1,2,13,3,2,0,0,1,0,0,1,2,2,0,0,1,1,0,0,0,25,270,
250740,Ciutadilla,183,35,0,140,8,13,9,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,11,207,
250753,Clariana de Cardener,132,44,0,88,0,9,4,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,2,142,
250766,"Cogul, el",170,8,0,161,1,15,10,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,193,
170545,Colera,344,94,246,3,0,82,44,1,1,3,0,0,3,10,3,1,9,5,0,1,1,0,0,110,536,
250772,Coll de Nargó,496,81,2,410,3,34,16,2,1,3,0,0,0,1,2,2,3,1,1,0,1,0,1,65,595,
080692,Collbató,3394,3304,26,42,23,609,279,28,8,7,2,8,44,56,37,47,28,28,15,3,10,3,6,282,4284,
430458,Colldejou,159,10,1,0,148,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,177,
080706,Collsuspina,312,305,4,0,3,19,8,1,0,2,0,1,1,1,3,0,0,1,1,0,0,0,0,16,347,
170558,Colomers,170,29,141,0,0,11,2,0,0,0,0,0,0,3,0,2,3,1,0,0,0,0,0,21,202,
251636,"Coma i la Pedra, la",246,113,0,133,0,19,7,2,1,1,0,0,2,2,2,0,1,0,0,0,1,0,0,9,274,
251615,Conca de Dalt,379,101,4,272,2,23,10,3,0,0,0,0,0,3,0,0,2,3,1,0,1,0,0,24,426,
430461,Conesa,117,41,0,5,71,6,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,6,129,
430477,Constantí,3692,240,15,61,3376,1435,837,67,17,11,8,8,76,96,43,133,36,42,35,4,6,1,15,1587,6714,
080713,Copons,272,262,0,7,3,33,17,5,1,1,0,0,0,1,2,3,2,1,0,0,0,0,0,26,331,
430483,Corbera d'Ebre,948,44,2,7,895,30,5,5,0,0,0,0,1,3,6,3,1,2,3,0,0,0,1,193,1172,
080728,Corbera de Llobregat,10096,9862,48,85,101,2325,1068,164,36,30,27,17,142,181,120,139,149,86,76,8,40,16,27,1758,14180,
250788,Corbins,1147,60,4,1077,6,109,34,22,0,1,0,0,7,3,7,29,2,2,0,0,1,0,1,143,1399,
170577,Corçà,1056,147,903,5,1,113,79,1,0,0,3,0,6,1,3,15,2,2,1,0,0,0,0,114,1284,
080734,Cornellà de Llobregat,44337,43411,176,381,369,26024,13327,1182,104,63,55,66,2338,2143,591,3641,1169,316,542,92,126,53,217,16143,86504,
170561,Cornellà del Terri,1938,130,1791,7,10,118,54,3,3,2,0,3,6,7,8,12,5,8,1,1,5,0,0,185,2241,
430496,Cornudella de Montsant,800,154,4,13,629,107,60,14,1,2,0,1,1,8,9,6,0,2,0,0,3,0,0,107,1013,
430509,Creixell,2020,1276,16,43,685,785,375,53,9,1,7,2,61,58,33,55,40,31,29,5,12,4,10,612,3416,
170583,Crespià,211,65,146,0,0,10,4,0,0,0,1,1,0,1,0,0,0,2,1,0,0,0,0,40,261,
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",986,170,805,7,4,144,76,8,5,0,0,2,4,4,10,12,3,11,0,1,6,1,1,110,1240,
080749,Cubelles,9314,8968,37,89,220,2997,1337,156,46,20,10,22,205,241,125,373,139,124,84,17,58,4,38,1875,14186,
250791,Cubells,330,51,1,276,2,24,8,2,0,1,0,0,1,3,0,1,5,2,1,0,0,0,0,45,399,
430516,Cunit,7114,5572,34,88,1421,3341,1584,208,41,16,9,11,245,276,125,286,201,106,119,13,37,9,55,2135,12590,
170600,Darnius,361,63,294,3,1,72,19,3,1,0,0,2,7,9,9,12,7,2,0,0,0,0,1,97,530,
170617,Das,199,96,87,16,0,13,1,2,2,1,1,0,0,2,0,0,3,1,0,0,0,0,0,12,224,
439018,Deltebre,9981,497,10,15,9459,545,159,79,0,7,4,1,24,30,119,25,28,34,16,1,10,1,7,1598,12124,
080752,Dosrius,3961,3872,42,21,26,877,391,48,5,8,11,4,73,59,32,103,22,35,55,5,16,3,7,333,5171,
430537,Duesaigües,183,32,0,1,150,27,6,5,0,0,0,0,1,2,2,1,1,2,5,0,1,0,1,28,238,
170622,"Escala, l'",5539,1400,4044,56,39,1493,799,75,18,21,9,7,68,118,55,136,65,51,18,8,30,6,7,3174,10206,
080765,Esparreguera,14997,14624,70,190,113,4597,2562,237,50,19,15,36,292,352,151,360,194,105,111,28,50,15,22,2281,21875,
170638,Espinelves,186,86,98,2,0,8,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,201,
250812,"Espluga Calba, l'",348,53,1,275,19,24,10,6,1,0,0,0,2,0,0,1,1,1,0,1,0,0,1,51,423,
430542,"Espluga de Francolí, l'",2926,308,13,158,2448,487,277,34,3,2,1,4,15,19,11,72,6,13,15,4,8,2,1,466,3879,
080771,Esplugues de Llobregat,25211,24360,150,420,282,13482,5732,862,113,59,48,79,1295,1479,355,1666,873,298,318,61,106,51,89,7614,46307,
170643,Espolla,331,68,260,1,2,39,23,2,0,1,0,1,0,1,2,3,0,3,1,0,2,0,0,42,412,
170656,Esponellà,378,61,313,2,2,25,13,0,0,1,1,0,2,2,1,1,1,0,0,0,1,1,1,43,446,
250827,Espot,282,61,3,216,2,31,2,3,2,0,0,3,2,5,1,7,2,3,0,0,1,0,0,37,350,
080787,"Espunyola, l'",251,224,4,22,1,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,260,
082541,"Esquirol, l'",1944,1869,61,11,3,90,37,7,2,1,0,0,2,7,7,7,11,3,1,3,1,1,0,142,2176,
250886,Estamariu,109,15,2,92,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,119,
080790,"Estany, l'",367,360,4,1,2,20,9,1,0,0,0,0,0,4,0,1,3,1,0,1,0,0,0,3,390,
250851,Estaràs,158,60,0,97,1,7,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,166,
250864,Esterri d'Àneu,560,124,6,414,16,79,13,16,3,1,0,0,5,6,12,0,12,7,0,0,3,0,1,246,886,
250870,Esterri de Cardós,70,15,1,52,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,74,
430555,Falset,2147,211,4,28,1904,263,116,39,4,3,2,3,14,5,31,16,6,11,5,2,1,1,4,473,2882,
170059,"Far d'Empordà, el",439,34,404,1,0,79,40,1,2,1,0,0,2,5,4,12,4,3,0,0,3,0,2,36,554,
250899,Farrera,123,34,3,84,2,9,2,2,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,6,138,
430568,"Fatarella, la",1011,25,3,1,982,29,12,2,0,4,0,0,2,1,1,4,1,0,1,1,0,0,0,60,1100,
430574,"Febró, la",43,4,0,0,39,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,49,
081347,Figaró-Montmany,770,758,7,2,3,171,61,9,0,2,2,0,11,12,7,34,9,11,5,3,2,2,2,168,1109,
080804,Fígols,40,39,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,46,
259084,Fígols i Alinyà,254,48,1,203,2,14,7,1,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,8,276,
430580,"Figuera, la",100,28,0,0,72,5,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,20,125,
170669,Figueres,24655,2681,21643,167,164,6882,3488,278,93,65,51,34,267,598,270,788,267,272,130,36,115,22,106,12956,44493,
430593,Figuerola del Camp,302,61,2,6,233,22,9,2,1,2,0,0,0,0,0,1,3,3,1,0,0,0,0,17,342,
170675,Flaçà,769,65,695,6,3,103,59,4,1,0,1,2,4,6,3,15,1,4,3,0,0,0,0,179,1051,
430607,Flix,2902,193,3,106,2600,518,143,136,6,0,2,5,34,45,26,39,8,13,47,3,11,0,0,475,3894,
250925,"Floresta, la",145,21,1,120,3,14,9,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,11,170,
080826,Fogars de la Selva,1085,995,75,9,6,357,211,16,3,4,1,0,21,24,5,36,16,1,10,2,5,0,2,75,1517,
080811,Fogars de Montclús,388,368,16,1,3,27,9,2,0,2,0,1,1,3,3,2,0,2,0,0,2,0,0,28,443,
170681,Foixà,270,46,223,1,0,11,5,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,29,310,
080832,Folgueroles,2067,1975,74,13,5,98,43,9,2,2,0,9,3,7,5,3,3,3,5,1,3,0,0,68,2233,
250931,Fondarella,673,62,7,594,10,97,47,22,1,0,0,0,4,7,1,6,4,2,3,0,0,0,0,53,822,
080847,Fonollosa,1199,1165,1,29,4,192,120,8,4,3,0,1,18,11,4,11,3,3,2,1,1,0,2,41,1432,
170694,Fontanals de Cerdanya,401,184,190,22,4,39,12,1,1,0,0,0,3,6,0,3,8,2,1,0,0,2,0,31,471,
170708,Fontanilles,130,16,114,0,0,7,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,161,
170715,Fontcoberta,1205,107,1091,2,5,97,50,4,1,0,2,0,5,7,5,6,5,5,2,0,4,0,1,63,1365,
080850,Font-rubí,1175,1150,4,6,15,89,41,7,0,1,0,3,1,5,6,8,7,4,3,0,3,0,0,169,1433,
250946,Foradada,156,47,0,107,2,11,3,3,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,16,183,
179026,Forallac,1380,173,1199,6,2,175,99,6,0,0,2,3,2,9,11,17,7,4,2,1,9,1,2,170,1725,
430614,Forès,44,6,1,5,32,6,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,51,
170736,Fornells de la Selva,2137,265,1850,17,5,200,91,11,3,1,1,0,12,14,15,16,10,19,3,0,2,2,0,104,2441,
170741,Fortià,474,54,412,7,1,108,70,6,1,0,1,0,7,4,6,3,1,3,2,2,2,0,0,84,666,
080863,"Franqueses del Vallès, les",12448,12105,222,81,40,3888,2214,134,40,19,12,15,128,203,61,665,143,77,97,4,49,9,19,2566,18903,
430629,Freginals,302,38,0,0,264,33,13,0,0,0,0,0,0,4,14,1,1,0,0,0,0,0,0,118,453,
250962,"Fuliola, la",1082,106,9,961,6,90,44,17,1,1,0,0,2,9,5,2,0,1,6,2,0,0,0,137,1309,
250978,Fulleda,93,16,0,63,14,9,4,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,102,
080902,Gaià,143,136,0,7,0,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,166,
430635,"Galera, la",593,43,1,2,547,63,17,10,0,0,1,0,0,2,22,5,0,4,0,1,0,0,1,176,832,
080879,Gallifa,166,165,0,0,1,18,1,1,0,1,0,0,1,5,2,0,4,2,1,0,0,0,0,17,201,
430640,Gandesa,2223,141,3,25,2055,209,48,85,2,2,2,1,18,9,18,6,8,2,3,0,1,1,3,687,3119,
430653,Garcia,453,61,1,1,390,52,21,6,0,1,0,0,4,6,8,2,0,2,1,0,1,0,0,76,581,
430666,"Garidells, els",158,19,1,11,127,29,11,2,2,0,0,1,1,2,2,2,2,4,0,0,0,0,0,4,191,
080885,"Garriga, la",11384,11054,166,94,70,2515,1342,128,22,24,18,15,88,167,88,279,147,85,43,9,42,8,11,1522,15421,
170754,Garrigàs,324,44,280,0,0,22,12,0,0,1,0,0,1,2,0,0,3,1,1,0,1,0,0,31,378,
170767,Garrigoles,136,29,107,0,0,8,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,162,
170773,Garriguella,600,104,488,5,3,94,41,1,2,0,0,0,6,6,5,18,4,8,1,1,1,0,0,157,851,
080898,Gavà,28738,28095,118,212,313,11311,5773,695,91,56,64,48,774,721,522,869,425,352,633,45,128,45,71,6257,46306,
250984,Gavet de la Conca,270,45,2,222,1,21,11,3,0,1,0,0,1,1,0,0,0,3,0,0,0,1,0,19,310,
080919,Gelida,5162,5042,20,45,55,1188,540,74,22,9,5,5,59,83,78,131,53,29,65,5,18,7,5,729,7079,
170789,Ger,386,172,189,23,2,26,7,1,0,0,0,0,0,6,2,1,5,1,0,1,2,0,0,60,472,
259123,Gimenells i el Pla de la Font,810,41,1,765,3,257,62,152,1,0,0,0,8,5,7,3,6,4,4,4,0,1,0,102,1169,
430672,Ginestar,688,54,3,0,631,33,8,7,0,0,0,0,1,5,3,2,3,3,1,0,0,0,0,186,907,
170792,Girona,61985,8515,52438,609,424,14177,6769,716,200,146,106,87,727,1260,625,1379,594,641,272,105,278,84,188,19951,96113,
080924,Gironella,3888,3745,24,113,6,631,373,20,4,6,6,4,94,33,19,22,8,12,8,4,8,1,9,527,5045,
080930,Gisclareny,30,29,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,
430688,Godall,590,61,0,0,529,49,10,10,0,1,0,0,5,1,10,1,5,3,2,1,0,0,0,131,770,
250997,Golmés,1361,118,4,1225,15,127,64,18,2,1,0,4,6,12,4,3,2,5,2,1,3,0,0,251,1739,
170806,Gombrèn,172,67,105,0,0,17,8,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,16,205,
251001,Gósol,213,106,4,101,2,10,6,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,5,228,
080945,"Granada, la",1604,1546,6,12,40,249,122,12,2,2,4,0,14,10,17,37,2,6,6,1,6,0,8,182,2035,
251018,"Granadella, la",626,51,2,563,10,28,13,4,0,0,1,0,2,2,1,2,2,0,1,0,0,0,0,87,741,
080958,Granera,73,72,0,0,1,6,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,83,
251023,"Granja d'Escarp, la",698,33,0,661,4,131,14,38,0,0,0,0,30,1,5,1,6,2,30,3,1,0,0,146,974,
080961,Granollers,35143,33802,688,402,252,12914,6620,575,98,64,47,59,590,973,323,2287,428,290,214,72,151,44,80,11514,59571,
251039,Granyanella,131,27,1,102,1,11,6,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,6,148,
251057,Granyena de les Garrigues,145,30,0,114,1,11,6,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,19,174,
251044,Granyena de Segarra,129,18,0,110,1,4,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,5,137,
430691,Gratallops,190,48,1,2,139,29,18,1,0,0,0,0,1,0,4,1,1,1,1,0,0,1,0,46,266,
080977,Gualba,1076,1001,52,11,12,161,69,6,1,4,2,2,16,14,5,20,7,10,2,0,3,0,0,134,1371,
170813,Gualta,281,53,224,3,1,15,8,1,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,99,396,
080996,Guardiola de Berguedà,751,708,17,21,5,156,83,17,3,0,1,1,9,8,5,16,5,2,4,0,1,1,0,86,993,
430705,"Guiamets, els",283,28,1,2,252,8,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,22,313,
170828,Guils de Cerdanya,438,190,221,25,2,53,12,1,1,1,1,0,3,9,1,1,13,5,3,0,2,0,0,55,546,
251095,Guimerà,269,48,0,209,12,15,6,0,0,1,0,0,0,1,2,1,0,1,0,2,0,0,1,28,312,
259031,"Guingueta d'Àneu, la",273,71,5,191,6,23,7,3,0,0,0,0,0,4,3,3,1,0,0,0,2,0,0,48,344,
251109,Guissona,3088,525,18,2521,24,466,199,42,14,6,2,7,39,67,11,42,6,9,10,4,5,2,1,3113,6668,
251116,Guixers,122,38,0,84,0,5,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,130,
081000,Gurb,2360,2291,56,9,4,129,74,7,1,1,0,3,7,7,11,5,5,1,1,4,1,0,1,87,2577,
430712,Horta de Sant Joan,1039,101,2,8,928,93,12,57,2,2,0,0,6,1,6,1,2,1,2,0,1,0,0,150,1282,
081017,"Hospitalet de Llobregat, l'",121260,118311,505,1311,1132,68922,28894,3921,544,224,179,251,6307,7917,2170,7758,6286,1072,1965,272,439,231,491,66328,256509,
081629,"Hostalets de Pierola, els",2194,2158,4,17,15,339,157,13,3,3,3,5,17,28,17,33,16,15,16,4,6,1,2,347,2880,
170834,Hostalric,2839,1153,1665,10,11,656,305,26,7,3,1,8,73,48,16,107,17,19,13,1,6,0,6,502,3997,
081022,Igualada,27519,25905,111,971,532,6042,2627,334,65,31,19,16,278,579,259,1112,124,139,314,38,58,7,43,5543,39103,
251155,Isona i Conca Dellà,950,133,2,811,4,39,16,1,0,1,0,5,2,2,3,1,5,1,1,0,1,0,0,92,1081,
170849,Isòvol,277,133,108,35,1,18,3,1,0,1,0,1,0,4,2,2,3,0,0,0,1,0,0,24,319,
251137,Ivars d'Urgell,1296,78,2,1206,10,96,38,23,0,0,2,4,2,6,5,4,4,0,5,1,1,0,1,237,1629,
251121,Ivars de Noguera,293,38,0,255,0,30,18,8,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,37,360,
251142,Ivorra,107,12,0,93,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,115,
170852,Jafre,306,42,263,1,0,24,10,1,0,0,0,0,2,2,4,1,1,1,0,0,0,0,2,82,412,
170865,"Jonquera, la",1375,110,1244,7,14,600,332,27,7,7,1,4,25,42,13,80,18,11,18,5,4,4,2,1175,3150,
081038,Jorba,726,692,1,23,10,75,33,1,0,0,0,1,2,5,5,21,3,2,1,0,1,0,0,26,827,
259101,Josa i Tuixén,117,48,3,66,0,11,5,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,11,139,
170871,Juià,271,30,238,2,1,24,12,1,2,0,1,0,2,0,3,1,0,2,0,0,0,0,0,46,342,
251180,Juncosa,390,29,0,348,13,30,11,8,0,0,0,0,6,0,0,2,1,2,0,0,0,0,0,37,456,
251193,Juneda,2603,133,5,2434,31,155,60,24,1,4,1,1,11,15,9,7,5,9,5,3,0,0,0,685,3443,
251214,Les,568,88,4,458,18,155,47,27,4,0,0,5,9,9,8,3,20,6,0,1,15,1,0,284,1006,
251229,Linyola,2124,165,7,1945,7,210,98,21,3,1,0,17,22,7,3,16,4,0,5,5,7,0,1,308,2642,
081043,"Llacuna, la",730,699,6,10,15,69,28,13,0,1,0,0,2,3,6,7,2,3,1,1,1,1,0,114,913,
170887,Lladó,643,106,530,7,0,39,16,6,0,1,0,1,1,4,1,6,1,0,0,0,2,0,0,42,724,
251235,Lladorre,223,46,1,172,4,13,6,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,6,242,
251240,Lladurs,173,36,1,135,1,7,1,0,0,0,0,0,0,2,0,1,0,1,0,1,1,0,0,7,187,
081056,"Llagosta, la",7635,7507,48,47,33,3940,2238,118,35,15,5,19,300,326,66,364,205,61,100,12,18,2,58,2019,13595,
170890,Llagostera,5606,1028,4525,28,25,1017,670,36,6,12,6,0,44,53,22,61,33,26,26,1,9,2,10,1436,8059,
170904,Llambilles,635,55,575,3,2,52,41,1,1,0,0,0,0,2,1,4,1,0,1,0,0,0,0,23,711,
170911,Llanars,455,132,318,3,1,29,11,1,0,1,0,0,4,2,2,0,2,3,1,0,2,0,0,63,547,
170926,Llançà,3271,684,2543,26,18,885,448,19,2,8,7,1,32,68,29,163,33,22,10,1,20,4,17,907,5062,
251253,Llardecans,472,16,0,449,7,24,6,8,0,0,0,1,2,0,3,2,2,0,0,0,0,0,0,10,506,
251266,Llavorsí,282,65,3,212,2,35,9,4,0,0,0,0,1,4,4,2,7,3,1,0,0,0,0,42,359,
251207,Lleida,86380,5512,377,79191,1299,22708,7540,6493,216,142,89,143,1213,1976,702,1608,624,713,362,238,356,161,130,28196,137283,
170932,Llers,897,80,810,4,3,141,74,6,0,1,1,2,14,15,4,6,3,5,4,2,2,0,2,139,1177,
251272,Lles de Cerdanya,248,74,9,164,1,13,6,3,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,9,270,
081075,Lliçà d'Amunt,10524,10322,75,80,47,3317,1837,141,39,9,11,11,239,229,100,356,141,60,79,17,17,11,20,720,14560,
081081,Lliçà de Vall,4471,4366,44,41,20,1538,810,56,11,9,0,11,124,113,44,120,137,30,43,5,11,2,13,322,6331,
251288,Llimiana,157,41,3,109,4,17,5,3,0,0,0,0,2,1,0,0,1,0,1,0,2,2,0,7,181,
081069,Llinars del Vallès,6503,6299,119,48,37,1866,677,70,26,12,9,6,114,157,61,504,109,35,50,3,16,3,14,1073,9442,
170947,Llívia,1131,569,505,46,10,180,54,14,2,1,1,3,21,14,17,8,23,7,1,0,12,0,2,329,1641,
430727,"Lloar, el",102,13,0,0,89,5,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9,116,
251291,Llobera,200,22,0,178,0,6,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,206,
430733,Llorac,95,50,0,8,37,7,2,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,9,111,
430748,Llorenç del Penedès,1742,581,12,18,1132,361,174,43,9,0,1,2,22,20,24,30,9,9,8,3,2,1,4,170,2273,
170950,Lloret de Mar,15549,4979,10270,177,122,7202,3929,334,47,45,45,16,335,575,154,830,351,184,122,50,91,40,54,16493,39245,
170963,"Llosses, les",193,101,89,1,2,15,5,0,0,0,0,0,2,2,0,2,2,0,0,1,0,0,1,11,219,
081094,Lluçà,241,234,7,0,0,11,7,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,4,256,
171024,Maçanet de Cabrenys,563,103,453,5,2,86,59,0,1,1,0,0,3,6,7,1,1,4,0,0,1,1,1,91,740,
171030,Maçanet de la Selva,4715,2490,2169,30,26,1416,822,48,16,18,2,5,74,70,34,175,52,31,42,4,10,4,9,960,7091,
170979,Madremanya,219,38,179,2,0,7,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,33,259,
170985,Maià de Montcal,347,79,262,5,1,33,19,0,0,1,1,1,2,0,1,2,2,3,1,0,0,0,0,54,435,
251333,Maials,828,39,2,776,11,34,6,13,0,0,2,1,2,1,1,4,0,1,3,0,0,0,0,112,974,
251305,Maldà,218,39,0,171,8,14,3,1,1,0,0,0,0,1,1,0,2,1,3,0,0,0,1,8,240,
081108,Malgrat de Mar,11972,11078,749,89,56,4000,2122,154,22,12,15,7,336,311,115,462,130,90,122,22,32,13,36,2499,18470,
081115,Malla,252,242,5,4,1,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10,266,
081120,Manlleu,13505,12939,452,70,44,2779,1930,70,12,10,15,4,134,112,38,248,54,41,42,7,21,7,35,4018,20302,
081136,Manresa,50668,48460,340,1589,280,11580,6171,679,146,73,39,58,1403,889,318,704,283,234,236,96,110,32,111,14063,76311,
