Població segons lloc de naixement  per comunitats autònomes
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=12&by=mun
Codi,Literal,Catalunya,Barcelona,Girona,Lleida,Tarragona,Resta Estat,Andalusia,Aragó,Principat d'Astúries,Illes Balears,Canàries,Cantàbria,Castella - la Manxa,Castella i Lleó,Comunitat Valenciana,Extremadura,Galícia,Comunitat de Madrid,Regió de Múrcia,Comunitat Foral de Navarra,País Basc,"Rioja, La",Ceuta i Melilla,Estranger,Total
250241,Alt Àneu,383,98,2,276,7,24,5,2,0,0,1,0,1,4,3,0,0,1,0,0,5,1,1,27,434,
430120,Altafulla,3296,1304,22,76,1895,911,314,95,24,13,13,10,52,93,58,36,43,57,21,20,37,12,14,649,4856,
170078,Amer,1861,174,1671,11,5,192,98,13,1,3,2,1,17,10,8,6,24,6,0,0,1,0,2,201,2254,
430136,"Ametlla de Mar, l'",4526,1013,26,61,3426,830,283,76,11,11,5,10,79,57,87,40,40,56,32,6,17,4,17,1985,7341,
080057,"Ametlla del Vallès, l'",6370,6219,66,54,31,1044,434,74,15,11,13,12,73,79,38,109,53,56,27,12,25,6,7,774,8187,
439060,"Ampolla, l'",1997,424,10,33,1530,347,97,46,15,4,0,2,33,24,39,11,30,15,16,0,11,0,4,998,3342,
430141,Amposta,15239,911,28,81,14219,1826,627,235,23,15,9,9,76,74,459,61,34,63,78,18,27,6,13,4309,21375,
170084,Anglès,4088,307,3759,13,9,498,289,13,15,2,1,0,11,28,9,22,30,12,55,1,8,1,1,1094,5680,
250273,Anglesola,1134,120,3,997,14,79,35,13,5,0,1,0,4,7,6,3,2,2,0,0,1,0,0,152,1364,
250292,Arbeca,1972,193,7,1735,37,88,42,13,2,3,0,0,5,3,5,6,2,5,2,0,0,0,0,381,2441,
430167,"Arboç, l'",3110,1083,15,15,1997,1191,582,46,145,3,2,30,65,142,25,56,32,24,22,4,6,1,6,1177,5478,
430154,Arbolí,99,17,0,1,81,10,3,1,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,5,114,
170097,Arbúcies,4641,1174,3426,16,25,453,197,19,4,2,2,3,27,40,30,62,18,14,20,2,7,0,6,1551,6645,
080060,Arenys de Mar,10356,9881,216,118,140,2421,1143,133,21,21,24,20,122,209,96,153,136,96,126,14,57,13,38,2113,14890,
080076,Arenys de Munt,6867,6691,95,47,34,988,518,50,8,12,5,3,74,69,32,57,36,33,56,2,19,4,11,646,8501,
170101,Argelaguer,336,85,250,0,1,45,20,1,2,0,0,0,3,2,2,1,4,4,0,2,3,0,1,35,416,
080082,Argençola,201,180,0,10,11,7,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,34,243,
430173,"Argentera, l'",128,24,1,0,103,18,7,2,0,0,0,0,2,0,4,1,1,0,0,1,0,0,0,7,153,
080095,Argentona,9209,8982,103,68,57,1917,1028,82,7,15,5,10,133,89,65,239,44,50,102,10,18,1,19,752,11877,
170118,"Armentera, l'",686,106,571,6,3,53,21,6,3,1,1,0,6,3,2,3,3,2,1,0,1,0,0,113,852,
430189,Arnes,411,74,0,1,337,59,6,36,0,0,0,0,3,2,6,1,1,1,2,0,1,0,0,12,482,
250313,Arres,52,20,0,27,5,5,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,7,63,
250328,Arsèguel,74,23,4,47,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,87,
080109,Artés,4275,4178,30,50,17,752,539,19,5,8,6,1,42,26,17,25,23,12,10,4,3,3,9,556,5583,
250334,Artesa de Lleida,1246,69,1,1166,10,122,43,34,0,0,1,0,7,9,6,7,3,7,0,0,2,3,0,144,1512,
250349,Artesa de Segre,2696,264,7,2415,10,180,72,15,3,2,0,1,8,35,3,5,7,11,8,1,6,2,1,835,3711,
430192,Ascó,1319,133,3,24,1159,224,90,50,3,0,0,5,15,18,18,6,7,2,1,2,4,0,3,130,1673,
250365,Aspa,203,10,0,190,3,13,7,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,4,220,
250371,"Avellanes i Santa Linya, les",394,48,0,344,2,28,7,9,1,0,0,1,3,1,1,1,1,1,0,0,2,0,0,30,452,
080116,Avià,2030,1860,17,145,8,97,47,7,2,1,2,2,6,2,4,12,1,2,6,1,1,0,1,131,2258,
080121,Avinyó,1860,1822,7,14,17,206,153,9,2,0,0,0,10,5,3,4,9,2,3,1,3,1,1,247,2313,
170123,Avinyonet de Puigventós,1176,128,1033,12,3,231,130,2,5,2,4,1,2,16,10,21,11,10,7,1,7,1,1,100,1507,
080137,Avinyonet del Penedès,1336,1291,6,9,30,183,83,13,0,2,0,1,18,10,15,15,6,2,9,0,5,1,3,194,1713,
080155,Badalona,133339,131394,594,729,622,51639,27612,1858,272,207,135,106,4142,3685,1399,5340,1989,883,2738,185,325,104,659,34262,219241,
089045,Badia del Vallès,8129,7994,32,56,47,4455,2553,131,27,13,14,18,316,342,89,512,145,67,115,19,17,6,72,1019,13603,
