Població de 16 anys i més segons nivell d'instrucció
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
.. Informació no disponible. Vegeu metodologia.

"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
 
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=15&by=mun
Codi,Literal,No sap llegir o escriure,Sense estudis,Educació primària,ESO,Batxillerat superior,FP grau mitjà,FP grau superior,Diplomatura,Grau universitari,Llicenciatura i doctorat,Total
080291,Cabrera de Mar,..,128,276,829,703,199,214,547,123,593,3617,
080305,Cabrils,..,187,432,1035,1124,294,299,738,283,1100,5526,
170329,Cadaqués,..,138,430,769,305,259,..,..,..,206,2360,
080312,Calaf,..,379,604,957,356,242,144,89,..,112,2935,
430379,Calafell,556,1597,2667,6376,2992,1630,1410,1287,257,1353,20126,
080327,Caldes d'Estrac,..,132,296,356,377,182,214,220,111,321,2245,
170335,Caldes de Malavella,123,354,668,1699,738,618,345,424,..,589,5666,
080333,Caldes de Montbui,161,1181,1599,4020,1943,1131,1500,856,400,1214,14006,
080351,Calella,230,909,2323,4579,2301,1221,988,901,395,1146,14993,
080370,Calldetenes,..,215,296,567,191,218,105,113,..,175,1930,
080386,Callús,..,171,228,480,158,97,123,110,..,104,1504,
170340,Calonge,233,670,1377,2741,1081,667,482,596,170,893,8910,
439039,Camarles,..,468,492,1108,311,124,133,136,..,109,2968,
430385,Cambrils,275,1895,3330,6581,3470,2187,2764,2044,973,3031,26548,
170366,Campdevànol,..,266,544,1054,218,220,241,146,..,101,2913,
170391,Camprodon,..,169,415,624,217,129,115,126,..,139,2036,
080403,Canet de Mar,..,978,1428,3128,1587,811,984,857,261,1200,11297,
439076,"Canonja, la",..,418,702,1239,537,..,607,477,..,..,4514,
080410,Canovelles,475,2037,1543,4781,1439,803,686,282,..,659,12830,
080425,Cànoves i Samalús,..,184,272,856,304,259,114,173,..,129,2372,
080431,Canyelles,..,195,431,1209,387,285,339,147,..,248,3349,
080446,Capellades,98,383,552,1751,576,230,312,214,..,377,4554,
080462,Cardedeu,160,931,1363,3708,1932,1022,1263,1203,192,2088,13862,
080478,Cardona,99,598,609,1673,434,204,208,239,..,257,4329,
170448,Cassà de la Selva,198,721,1279,2771,1025,536,336,522,139,465,7993,
080497,Casserres,..,101,144,574,143,100,102,96,..,86,1391,
080517,Castellar del Vallès,228,1162,2258,5308,2899,1453,1619,1208,285,1979,18398,
080538,Castellbell i el Vilar,89,168,641,1031,217,174,163,219,..,218,2980,
080543,Castellbisbal,172,805,1172,2989,1347,731,848,685,165,728,9641,
250674,Castelldans,..,50,233,326,86,59,41,34,..,43,898,
080569,Castelldefels,542,2886,5005,12417,8383,3312,4242,4116,1892,7228,50024,
080581,Castellet i la Gornal,..,156,290,755,180,159,137,..,..,..,1894,
080615,Castellgalí,..,107,231,562,143,126,163,104,..,106,1587,
080620,Castellnou de Bages,..,40,103,349,107,68,90,53,..,83,919,
170470,Castelló d'Empúries,411,633,1705,2411,1722,652,235,594,558,461,9382,
170486,Castell-Platja d'Aro,237,786,1135,2587,1484,343,627,410,341,876,8827,
250707,Castellserà,..,93,212,329,121,63,58,50,..,39,970,
080641,Castellterçol,..,173,240,474,235,69,195,128,..,273,1907,
430424,Castellvell del Camp,..,94,195,760,287,172,158,141,128,281,2218,
080654,Castellví de la Marca,..,143,137,532,119,118,115,55,..,99,1350,
080667,Castellví de Rosanes,..,67,103,362,208,118,164,115,..,144,1311,
430430,"Catllar, el",..,163,349,1153,369,309,256,287,..,395,3358,
171899,"Cellera de Ter, la",..,280,288,553,137,154,88,97,..,48,1709,
170499,Celrà,..,175,472,1100,657,312,242,257,181,289,3696,
080673,Centelles,..,507,761,1960,747,552,348,444,..,520,5989,
082687,Cercs,..,136,151,500,127,68,82,..,..,..,1168,
082665,Cerdanyola del Vallès,775,3559,5513,13370,6929,3041,3577,2857,1223,6374,47217,
080689,Cervelló,137,398,718,1953,1035,625,692,490,182,732,6961,
250729,Cervera,..,579,1139,2558,806,613,517,654,127,434,7516,
080692,Collbató,..,98,180,807,384,280,400,278,127,586,3176,
430477,Constantí,..,903,1124,1398,477,531,359,234,..,310,5414,
430483,Corbera d'Ebre,..,80,140,459,79,109,75,..,..,..,1010,
080728,Corbera de Llobregat,..,617,1318,2602,1760,1104,1287,937,139,1115,10894,
250788,Corbins,..,60,196,353,106,161,69,110,..,94,1164,
170577,Corçà,..,90,185,436,105,102,33,58,..,75,1094,
080734,Cornellà de Llobregat,1959,9417,9793,20065,8981,5494,5993,4262,1003,4855,71823,
170561,Cornellà del Terri,..,105,324,628,141,144,127,101,..,177,1827,
430496,Cornudella de Montsant,..,48,150,409,85,..,43,..,..,78,892,
