Població de 16 anys i més segons nivell d'instrucció
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
.. Informació no disponible. Vegeu metodologia.

"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
 
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=15&by=mun
Codi,Literal,No sap llegir o escriure,Sense estudis,Educació primària,ESO,Batxillerat superior,FP grau mitjà,FP grau superior,Diplomatura,Grau universitari,Llicenciatura i doctorat,Total
171637,Sant Gregori,..,147,267,801,423,179,177,189,54,316,2572,
251924,Sant Guim de Freixenet,..,88,156,295,160,..,63,..,..,..,936,
171642,Sant Hilari Sacalm,136,600,904,1781,380,339,180,254,..,179,4860,
082153,Sant Hipòlit de Voltregà,97,274,483,1024,310,209,260,138,..,153,2953,
081939,Sant Iscle de Vallalta,..,43,116,362,179,58,79,104,..,81,1046,
439023,Sant Jaume d'Enveja,..,541,741,1112,125,147,..,..,..,64,3009,
431378,Sant Jaume dels Domenys,..,..,491,658,275,212,93,112,..,81,2044,
171674,Sant Joan de les Abadesses,..,392,388,1250,241,153,171,113,..,221,2999,
082188,Sant Joan de Vilatorrada,268,774,1095,3462,896,635,628,586,82,376,8805,
082172,Sant Joan Despí,499,2536,2799,7586,3903,1793,2086,1885,351,2954,26392,
171851,Sant Joan les Fonts,72,229,488,823,164,209,188,129,..,102,2427,
171693,Sant Julià de Ramis,..,144,289,962,412,220,245,140,..,228,2714,
082205,Sant Julià de Vilatorta,..,160,256,642,306,245,234,183,..,322,2444,
179032,Sant Julià del Llor i Bonmatí,..,110,211,307,109,61,49,50,..,76,1022,
082212,Sant Just Desvern,..,612,861,2157,2059,570,879,1398,764,3135,12502,
082227,Sant Llorenç d'Hortons,..,151,259,580,212,182,265,123,..,180,2022,
251930,Sant Llorenç de Morunys,..,69,185,241,114,101,57,..,..,32,842,
082233,Sant Llorenç Savall,..,146,360,755,179,170,115,126,..,125,1983,
082248,Sant Martí de Centelles,..,68,117,291,116,73,51,56,..,98,898,
082264,Sant Martí de Tous,..,48,121,290,91,78,75,82,..,103,907,
082270,Sant Martí Sarroca,..,199,450,766,361,294,149,164,..,159,2641,
082310,Sant Pere de Ribes,399,1680,3306,7749,3217,1514,1586,1736,568,1892,23647,
082325,Sant Pere de Riudebitlles,..,147,359,736,208,135,72,109,..,96,1906,
082331,Sant Pere de Torelló,..,108,369,768,179,163,66,173,..,149,2030,
082346,Sant Pere de Vilamajor,..,178,337,947,483,395,345,228,..,320,3338,
171788,Sant Pere Pescador,92,263,309,495,244,92,65,74,..,76,1748,
082359,Sant Pol de Mar,..,117,580,1023,760,261,196,411,132,613,4109,
082362,Sant Quintí de Mediona,..,167,264,668,196,142,92,..,..,67,1707,
082378,Sant Quirze de Besora,..,187,341,593,212,106,133,116,..,153,1877,
082384,Sant Quirze del Vallès,..,593,1024,3547,2440,1154,1221,1318,311,3032,14763,
082401,Sant Sadurní d'Anoia,144,1028,1426,3114,1210,859,606,679,287,609,9961,
080983,Sant Salvador de Guardiola,..,183,359,757,295,268,229,181,..,124,2453,
082628,Sant Vicenç de Castellet,135,639,1139,2977,842,532,477,346,..,420,7619,
082649,Sant Vicenç de Montalt,..,78,373,816,939,372,440,618,122,655,4429,
082652,Sant Vicenç de Torelló,..,107,270,591,200,132,86,153,..,92,1656,
082634,Sant Vicenç dels Horts,566,2681,3120,7139,2313,2797,2061,928,..,931,22649,
431384,Santa Bàrbara,..,398,717,1074,324,166,84,177,..,195,3239,
082444,Santa Coloma de Cervelló,84,345,572,1468,1005,531,772,509,92,682,6060,
171805,Santa Coloma de Farners,242,878,2048,3771,1042,460,463,345,..,535,9888,
082457,Santa Coloma de Gramenet,3099,14288,16315,31788,9960,7025,7306,4247,1681,4139,99848,
431397,Santa Coloma de Queralt,..,121,388,876,227,244,179,217,..,129,2427,
171812,Santa Cristina d'Aro,..,225,437,1258,519,161,358,224,160,597,3988,
082460,Santa Eugènia de Berga,99,135,247,725,189,157,..,160,..,118,1908,
082476,Santa Eulàlia de Riuprimer,..,29,190,296,100,108,71,90,..,53,963,
082482,Santa Eulàlia de Ronçana,..,488,738,1435,635,622,459,356,180,665,5633,
082508,Santa Margarida de Montbui,288,1116,1335,3258,483,423,381,186,113,234,7816,
082515,Santa Margarida i els Monjos,149,464,792,2053,559,630,501,173,..,197,5574,
082589,Santa Maria d'Oló,..,98,130,341,49,88,54,64,..,54,893,
082592,Santa Maria de Palautordera,112,528,844,2729,790,475,703,463,..,683,7444,
431401,Santa Oliva,..,309,497,1068,135,197,106,..,..,227,2658,
171848,Santa Pau,..,81,191,515,96,131,148,88,..,84,1381,
082606,Santa Perpètua de Mogoda,364,2291,2649,6280,2555,1802,1818,1028,334,1121,20243,
082613,Santa Susanna,..,154,345,981,321,224,234,206,..,180,2718,
081923,Santpedor,..,466,744,1777,676,366,613,489,..,499,5712,
431423,Sarral,..,107,226,416,169,140,78,86,..,84,1356,
171864,Sarrià de Ter,..,341,632,1187,508,292,371,251,105,267,4008,
431444,"Secuita, la",..,62,140,383,96,173,180,80,..,155,1317,
431457,"Selva del Camp, la",..,364,633,1432,525,379,326,344,..,290,4402,
430445,"Sénia, la",..,402,782,1783,550,551,283,203,191,150,4919,
082671,Sentmenat,..,453,964,2115,802,652,661,506,120,461,6820,
171903,Serinyà,..,55,72,326,122,40,81,..,..,154,918,
252043,Seròs,..,151,447,486,185,61,108,69,..,39,1644,
252038,"Seu d'Urgell, la",..,957,1453,3480,1061,1027,451,670,224,992,10364,
082690,Seva,..,78,278,1030,387,254,224,194,..,234,2740,
171931,Sils,..,203,849,1490,608,257,421,240,..,233,4385,
082704,Sitges,..,600,2465,4733,4503,944,1750,2170,1035,5161,23525,
252075,Solsona,183,773,1106,2046,735,788,728,563,..,623,7578,
252094,Sort,..,122,293,630,264,153,102,133,..,160,1878,
252108,Soses,..,141,231,469,148,114,98,102,..,72,1468,
082732,Subirats,..,124,388,749,279,356,223,145,..,88,2425,
082747,Súria,108,521,1033,1757,442,438,295,298,..,370,5343,
082785,Taradell,..,314,680,1815,599,314,303,409,..,455,4999,
431482,Tarragona,2113,8994,13734,27357,14210,7349,9397,8444,2579,15945,110123,
252173,Tàrrega,209,723,2015,4414,1966,894,815,1113,227,1101,13477,
082819,Teià,..,152,427,1099,950,353,419,439,184,810,4891,
252206,Térmens,..,81,263,510,160,110,74,71,..,84,1379,
082798,Terrassa,4199,16888,22304,52087,20466,12530,13356,11988,2994,16974,173787,
082824,Tiana,98,272,414,1364,1381,408,542,636,221,1152,6486,
431508,Tivissa,..,136,453,470,73,111,108,55,..,91,1553,
082830,Tona,..,501,984,2095,683,726,304,395,..,603,6404,
252234,Torà,..,84,255,402,113,117,60,..,..,48,1124,
082845,Tordera,318,1296,2389,5221,1068,1229,617,407,..,319,13052,
082858,Torelló,348,1051,1697,3824,1296,989,612,906,..,704,11511,
082861,"Torre de Claramunt, la",..,245,476,1146,324,155,351,171,..,87,3046,
431536,Torredembarra,349,882,2132,3484,1479,1314,959,853,263,1031,12747,
252287,Torrefarrera,..,182,362,1006,356,379,293,379,..,261,3320,
252304,Torregrossa,..,163,294,667,232,203,145,73,..,118,1958,
082877,Torrelavit,..,106,183,450,120,121,65,44,..,57,1176,
082883,Torrelles de Foix,..,228,304,700,128,219,120,59,..,94,1925,
082896,Torrelles de Llobregat,..,162,298,1079,611,393,696,560,134,414,4379,
252326,Torres de Segre,..,184,438,668,193,113,74,110,..,57,1879,
171997,Torroella de Montgrí,..,666,1501,3334,1269,497,433,596,170,779,9317,
431554,Tortosa,890,2301,5542,7709,3299,1712,2119,1982,562,2283,28400,
172023,Tossa de Mar,..,285,520,1903,838,309,207,263,..,425,4953,
252347,Tremp,..,474,750,1080,656,470,349,496,307,492,5161,
172044,Ullà,77,36,226,284,132,..,..,..,..,32,850,
082900,Ullastrell,..,58,144,427,246,159,184,104,..,151,1521,
431567,Ulldecona,308,456,1428,2105,1022,125,..,150,..,313,6032,
082917,Vacarisses,..,346,416,1512,613,576,461,343,..,343,4741,
172076,"Vall d'en Bas, la",..,216,449,645,230,321,198,142,..,213,2469,
172082,"Vall de Bianya, la",..,111,161,313,161,85,84,65,..,80,1094,
250432,"Vall de Boí, la",..,69,82,194,165,83,103,68,..,111,924,
082922,Vallbona d'Anoia,..,95,183,415,121,108,100,75,..,57,1180,
252402,Vallfogona de Balaguer,..,135,203,574,180,153,95,91,..,88,1537,
082943,Vallgorguina,..,..,165,739,236,232,228,138,..,228,2067,
082956,Vallirana,126,956,1305,3358,1314,1435,1190,748,238,759,11430,
431606,Vallmoll,..,138,192,382,128,136,136,123,..,126,1392,
082969,Vallromanes,..,85,166,375,315,118,178,181,58,350,1845,
431613,Valls,242,1426,3623,6284,1814,1827,1618,1559,..,1575,20298,
431628,Vandellòs i l'Hospitalet de l'Infant,..,361,465,1542,611,518,488,435,..,413,4917,
431634,"Vendrell, el",566,2392,4332,9157,4341,2642,2057,1509,623,1872,29490,
252424,Verdú,74,52,125,289,108,60,31,..,..,59,830,
172116,Verges,..,50,176,332,128,55,59,71,..,110,1012,
082981,Vic,840,3221,5382,9262,4084,2108,1482,2353,589,3521,32843,
172137,Vidreres,..,524,726,2224,854,618,510,259,..,356,6166,
252430,Vielha e Mijaran,..,246,393,785,1149,302,556,330,..,594,4611,
172155,Vilablareix,..,144,207,707,248,176,170,159,..,166,2009,
083015,Viladecans,1327,5295,6349,16299,5696,4973,5066,3295,721,3430,52451,
083008,Viladecavalls,..,398,532,1951,703,641,478,413,..,649,5893,
172207,Viladrau,..,65,123,295,147,63,47,51,..,84,894,
172214,Vilafant,59,335,589,1918,571,347,208,145,..,250,4460,
083054,Vilafranca del Penedès,994,2677,4439,8715,3779,2439,2378,2016,545,3517,31498,
172235,Vilajuïga,..,45,139,321,149,44,37,..,..,121,937,
431665,Vilallonga del Camp,..,54,297,469,172,124,263,176,..,148,1751,
172266,Vilamalla,..,84,168,382,72,37,51,30,..,..,877,
252483,Vilanova de Bellpuig,..,81,232,284,97,95,57,111,..,67,1033,
252542,Vilanova de la Barca,..,43,155,309,150,91,51,57,..,64,952,
083020,Vilanova del Camí,204,1326,1921,3749,969,690,482,309,..,335,10098,
089024,Vilanova del Vallès,..,187,436,1204,520,367,296,325,112,342,3808,
083073,Vilanova i la Geltrú,936,4529,7268,15557,7070,3586,3795,3711,1282,6878,54610,
431704,Vila-rodona,..,89,155,363,104,..,106,68,..,104,1047,
431711,Vila-seca,502,1516,2039,5292,1790,1931,1916,996,244,1410,17636,
082140,Vilassar de Dalt,..,415,899,2020,1162,513,551,526,189,876,7200,
082191,Vilassar de Mar,..,993,1649,3874,3231,1015,1215,1155,401,2529,16207,
172333,Vilobí d'Onyar,..,142,284,859,240,224,204,158,..,230,2407,
083041,Vilobí del Penedès,..,48,135,318,108,69,54,78,..,68,908,
431763,Vimbodí i Poblet,..,76,108,367,79,68,46,30,..,52,834,
431785,Vinyols i els Arcs,..,113,275,361,200,203,148,121,..,96,1546,
430521,Xerta,..,77,205,316,83,106,76,126,..,78,1097,
,Catalunya,106217,517107,837313,1762340,843227,437978,454519,418988,146704,699055,6223448,

